id_num,vacancy_name,company_name,description,salary_from,salary_to,salary_currency,area,url
86846739,Начинающий Web-Дизайнер,Веста-К,"Знание Figma. Знание графических редакторов, таких как Adobe Photoshop, CorelDraw и т..д. Умение находить и обрабатывать найденную информацию. ",25000.0,35000.0,RUR,Ростов-на-Дону,https://hh.ru/vacancy/86846739
77959077,Менеджер по сохранению клиентов,Ростелеком,Вы готовы учиться новому и постоянно развиваться. Являетесь уверенным пользователем ПК. Обладаете грамотной речью. Только начинаете свой карьерный путь или...,0,0,Данные отсутствуют,Пермь,https://hh.ru/vacancy/77959077
87135968,Начинающий full-stack веб-разработчик,Техновизор,"Закончили, или заканчиваете ВУЗ по какой-либо it-специальности. Знакомы с Linux. Умеете работать с командной строкой. И с Docker.",40000.0,,RUR,Екатеринбург,https://hh.ru/vacancy/87135968
86590469,Специалист по локализации,Palex Group,"Техническое образование, аналитический склад ума. Продвинутый пользователь программ пакета MS Office (Word, Excel, PowerPoint, Visio). Навыки работы с мультимедиа (изображения...",25000.0,,RUR,Новосибирск,https://hh.ru/vacancy/86590469
87397360,"Junior ML Engineer for Speech Processing (TTS, VAD, SpeakerRecognition)",KVINT,"Отличные знания <highlighttext>python</highlighttext>, pytorch, numpy, docker. Желание развиваться в области обработки речи. Уверенные знания Computer Science, ML, DL. ",0,0,Данные отсутствуют,Москва,https://hh.ru/vacancy/87397360
86421105,Анатитик данных (Дата-инженер),Сеть магазинов цифровой и бытовой техники DNS,"Знание языков программирования: обязательно <highlighttext>Python</highlighttext>, желательно JavaScript и другие. Желателен опыт в разработке и поддержание инфраструктуры для обработки данных. ",65000.0,,RUR,Красноярск,https://hh.ru/vacancy/86421105
86018951,Начинающий IT-специалист,Группа Илим,"Хорошее знание любого языка программирования, например: JS, c#, <highlighttext>python</highlighttext>, powershell, др.. Отличные базисные знания протоколов и сетей TCP/IP. ",0,0,Данные отсутствуют,Санкт-Петербург,https://hh.ru/vacancy/86018951
87393140,Data engineer,СИНЕРГИЯ,"Хорошее знание <highlighttext>Python</highlighttext>, умение писать поддерживаемый код. Flash / Fast API. Git, Bash, Airflow, Docker. SQL на экспертном уровне (умение оптимизировать...",0,0,Данные отсутствуют,Москва,https://hh.ru/vacancy/87393140
86832484,PHP full stack разработчик — junior/middle,Маркетинговые Решения,"Знание ЯП PHP 7.4, 8.x, <highlighttext>Python</highlighttext> 3.10+ на хорошем уровне, умение пользоваться отладчиком. Знания React/NextJS...",0,0,Данные отсутствуют,Москва,https://hh.ru/vacancy/86832484
74932495,Оператор call-центра,Ростелеком,Вы готовы учиться новому и постоянно развиваться. Являетесь уверенным пользователем ПК. Обладаете грамотной речью. Только начинаете свой карьерный путь или...,0,0,Данные отсутствуют,Пермь,https://hh.ru/vacancy/74932495
74289000,Оператор call-центра,Ростелеком,Вы готовы учиться новому и постоянно развиваться. Являетесь уверенным пользователем ПК. Обладаете грамотной речью. Только начинаете свой карьерный путь или...,0,0,Данные отсутствуют,Пермь,https://hh.ru/vacancy/74289000
